Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
C2H5OCH=CHNH2->C2H4+CH3NH2+CO,1,C2H5OCH=CHNH2,C2H5OCH=CHNH2,,C2H4 | CH3NH2 | CO,C2H4,CH3NH2,CO,,273.0,613.0,6300000000000.0, ,173000.0
CBr3OF->CBr3+OF,1,CBr3OF,CBr3OF,,CBr3 | OF,CBr3,OF,,,200.0,400.0,1.41e+16,-0.67,320000.0
CBr3OF->CBr3O(.)+.F,1,CBr3OF,CBr3OF,,CBr3O(.) | .F,CBr3O(.),.F,,,200.0,400.0,4000000000000000.0,-0.03,158000.0
CCl3OF->.F+CCl3O,1,CCl3OF,CCl3OF,,.F | CCl3O,.F,CCl3O,,,200.0,400.0,4300000000000000.0,-0.04,180000.0
CCl3OF->.CCl3+OF,1,CCl3OF,CCl3OF,,.CCl3 | OF,.CCl3,OF,,,200.0,400.0,1.3e+16,-0.57,325000.0
CCl3OBr->Br.+CCl3O,1,CCl3OBr,CCl3OBr,,Br. | CCl3O,Br.,CCl3O,,,200.0,400.0,3610000000000000.0,-0.53,1940000.0
CCl3OBr->.CCl3+BrO,1,CCl3OBr,CCl3OBr,,.CCl3 | BrO,.CCl3,BrO,,,200.0,400.0,9200000000000000.0,-0.73,325000.0
CBr3OCl->CBr3+ClO,1,CBr3OCl,CBr3OCl,,CBr3 | ClO,CBr3,ClO,,,200.0,400.0,1.21e+16,-0.84,305000.0
CBr3OCl->CBr3O(.)+Cl,1,CBr3OCl,CBr3OCl,,CBr3O(.) | Cl,CBr3O(.),Cl,,,200.0,400.0,4710000000000000.0,-0.37,186000.0
"Spiro[2.5]octa-1,5,7-trien-4-yl->Ethenyl,2-phenyl-",1,"Spiro[2.5]octa-1,5,7-trien-4-yl","Spiro[2.5]octa-1,5,7-trien-4-yl",,"Ethenyl,2-phenyl-","Ethenyl,2-phenyl-",,,,250.0,2000.0,24700000000000.0,0.05,13000.0
Al(CH3)Al(CH3)2->Al(CH3)3+Al,1,Al(CH3)Al(CH3)2,Al(CH3)Al(CH3)2,,Al(CH3)3 | Al,Al(CH3)3,Al,,,296.0,324.0,4400000000000000.0, ,81100.0
C6H5CH2CH=CH(.)->C6H5CH2C2H+H.,1,C6H5CH2CH=CH(.),C6H5CH2CH=CH(.),,C6H5CH2C2H | H.,C6H5CH2C2H,H.,,,900.0,1800.0,10000000000000.0, ,137000.0
C6H5CH2C(.)=CH2->C6H5CH2C2H+H.,1,C6H5CH2C(.)=CH2,C6H5CH2C(.)=CH2,,C6H5CH2C2H | H.,C6H5CH2C2H,H.,,,900.0,1800.0,10000000000000.0, ,150000.0
"C6H5CH2C(.)=CH2->Benzene, 1,2-propadienyl-+H.",1,C6H5CH2C(.)=CH2,C6H5CH2C(.)=CH2,,"Benzene, 1,2-propadienyl- | H.","Benzene, 1,2-propadienyl-",H.,,,900.0,1800.0,10000000000000.0, ,138000.0
C6H5CH2C(.)=CH2->C6H4(.)CH2CHCH2,1,C6H5CH2C(.)=CH2,C6H5CH2C(.)=CH2,,C6H4(.)CH2CHCH2,C6H4(.)CH2CHCH2,,,,900.0,1800.0,10000000000000.0, ,17000.0
CH3CHBrO(.)->CH3CBr(OH)(.),1,CH3CHBrO(.),CH3CHBrO(.),,CH3CBr(OH)(.),CH3CBr(OH)(.),,,,250.0,500.0,3.65e-19, ,74300.0
CH3CHBrO(.)->.CH3+HC(O)Br,1,CH3CHBrO(.),CH3CHBrO(.),,.CH3 | HC(O)Br,.CH3,HC(O)Br,,,250.0,500.0,4.82e-17, ,60900.0
CH3CHBrO(.)->CH3COBr+H.,1,CH3CHBrO(.),CH3CHBrO(.),,CH3COBr | H.,CH3COBr,H.,,,250.0,500.0,3.99e-15, ,45300.0
CH3CHBrO(.)->CH3CHO+Br.,1,CH3CHBrO(.),CH3CHBrO(.),,CH3CHO | Br.,CH3CHO,Br.,,,250.0,500.0,5.31e-12, ,4141.0
"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl->Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",1,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl","Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl","Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,,,250.0,2000.0,1160000000000.0,0.43,129000.0
"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl->Ethenyl,2-phenyl-",1,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl","Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,"Ethenyl,2-phenyl-","Ethenyl,2-phenyl-",,,,250.0,2000.0,12700000000000.0,0.18,74500.0
"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl->2-(.)C6H4C2H3",1,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl","Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,2-(.)C6H4C2H3,2-(.)C6H4C2H3,,,,250.0,2000.0,39200000000000.0,0.26,158000.0
C10H7CH2CH2.->1-Ethenylnaphthalene+H.,1,C10H7CH2CH2.,C10H7CH2CH2.,,1-Ethenylnaphthalene | H.,1-Ethenylnaphthalene,H.,,,950.0,1200.0,133000000000000.0, ,156000.0
HC(O)CO->CO+HCO,1,HC(O)CO,HC(O)CO,,CO | HCO,CO,HCO,,,224.0,317.0,1400000000000.0, ,26300.0
BNH2->HBNH,1,BNH2,BNH2,,HBNH,HBNH,,,,200.0,2500.0,29100.0,9.37,43700.0
CH3OCH2OONO2->NO2+CH3OCH2O2,1,CH3OCH2OONO2,CH3OCH2OONO2,,NO2 | CH3OCH2O2,NO2,CH3OCH2O2,,,257.0,275.0,1.1e+16, ,93100.0
CH3CH2Te->.C2H5+Te,2,CH3CH2Te,CH3CH2Te,,.C2H5 | Te,.C2H5,Te,,,900.0,1000.0,0.03,-4.93,168000.0
"Manganese(1+), [(1,2,3,4,5-eta)-1-methyl-2,4-cyclopentadien-1-yl]-->Mn+Cyclopentadienyl, methyl-",1,"Manganese(1 | ), [(1,2,3,4,5-eta)-1-methyl-2,4-cyclopentadien-1-yl]-",Manganese(1,"), [(1,2,3,4,5-eta)-1-methyl-2,4-cyclopentadien-1-yl]-","Mn | Cyclopentadienyl, methyl-",Mn,"Cyclopentadienyl, methyl-",,,523.0,723.0,316000000000000.0, ,150000.0
"2lambda2, 4lambda2, 6lambda2, 8lambda2-Cyclotetrasiloxane->SiO+Cyclotrisiloxane-2,4,6-triylidene-",1,"2lambda2, 4lambda2, 6lambda2, 8lambda2-Cyclotetrasiloxane","2lambda2, 4lambda2, 6lambda2, 8lambda2-Cyclotetrasiloxane",,"SiO | Cyclotrisiloxane-2,4,6-triylidene-",SiO,"Cyclotrisiloxane-2,4,6-triylidene-",,,1000.0,2500.0,3.07e+20,-8.90,191000.0
CH3CH(O.)CH2CH2CH3->CH3CH(OH)(CH2)2CH2,1,CH3CH(O.)CH2CH2CH3,CH3CH(O.)CH2CH2CH3,,CH3CH(OH)(CH2)2CH2,CH3CH(OH)(CH2)2CH2,,,,264.0,319.0,7.6e+24, ,29400.0
CH3CH(O.)CH2CH2CH3->.CH2CH2CH2CH(OH)CH3,1,CH3CH(O.)CH2CH2CH3,CH3CH(O.)CH2CH2CH3,,.CH2CH2CH2CH(OH)CH3,.CH2CH2CH2CH(OH)CH3,,,,264.0,319.0,92000000000.0, ,30500.0
CF3CFHO->HFCO+.CF3,1,CF3CFHO,CF3CFHO,,HFCO | .CF3,HFCO,.CF3,,,235.0,318.0,740000000000.0, ,39200.0
Cu(hfac)(VTMS)->CH2=CHSi(CH3)3+Cu(hfac),1,Cu(hfac)(VTMS),Cu(hfac)(VTMS),,CH2=CHSi(CH3)3 | Cu(hfac),CH2=CHSi(CH3)3,Cu(hfac),,,423.0,473.0,150000000000000.0, ,112000.0
"Disulfide 1,1-dimethylethyl 4-fluorophenyl->iso-C4H8+Benzenesulfenothioic acid, 4-fluoro-",1,"Disulfide 1,1-dimethylethyl 4-fluorophenyl","Disulfide 1,1-dimethylethyl 4-fluorophenyl",,"iso-C4H8 | Benzenesulfenothioic acid, 4-fluoro-",iso-C4H8,"Benzenesulfenothioic acid, 4-fluoro-",,,673.0,723.0,63100000000.0, ,145000.0
"Disulfide 1,1-dimethylethyl 4-nitrophenyl->iso-C4H8+Benzenesulfenothioic acid, 4-nitro-",1,"Disulfide 1,1-dimethylethyl 4-nitrophenyl","Disulfide 1,1-dimethylethyl 4-nitrophenyl",,"iso-C4H8 | Benzenesulfenothioic acid, 4-nitro-",iso-C4H8,"Benzenesulfenothioic acid, 4-nitro-",,,693.0,733.0,2.88e-13, ,185000.0
HOPO2->.OH+PO2,1,HOPO2,HOPO2,,.OH | PO2,.OH,PO2,,,1000.0,2000.0,3630000000000000.0, ,440000.0
"Cyclopent-2-enyl,2-(1-methyleneethenyl)-->Bicyclo[3.2.0]hept-1-ene,7-methylene",1,"Cyclopent-2-enyl,2-(1-methyleneethenyl)-","Cyclopent-2-enyl,2-(1-methyleneethenyl)-",,"Bicyclo[3.2.0]hept-1-ene,7-methylene","Bicyclo[3.2.0]hept-1-ene,7-methylene",,,,423.0,623.0,29500000000.0, ,27200.0
CH3C(O)OCH2CH2C[Si(CH3)3]3->CH2=CHC[Si(CH3)3]3+CH3C(O)OH,1,CH3C(O)OCH2CH2C[Si(CH3)3]3,CH3C(O)OCH2CH2C[Si(CH3)3]3,,CH2=CHC[Si(CH3)3]3 | CH3C(O)OH,CH2=CHC[Si(CH3)3]3,CH3C(O)OH,,,633.0,688.0,3060000000000.0, ,190000.0
CH2ClCHClO2->O2+CH2ClCHCl.,1,CH2ClCHClO2,CH2ClCHClO2,,O2 | CH2ClCHCl.,O2,CH2ClCHCl.,,,321.0,490.0,10000000000000.0, ,101000.0
"Naphthalenyl, 1, ? -dihydro-1-(nitrooxy)-->Naphthalene+NO3",1,"Naphthalenyl, 1, ? -dihydro-1-(nitrooxy)-","Naphthalenyl, 1, ? -dihydro-1-(nitrooxy)-",,Naphthalene | NO3,Naphthalene,NO3,,,272.0,297.0,3000000000000.0, ,38700.0
"Cyclopropane,1-ethenyl-1-ethoxy-->Cyclopentane, 1-ethoxy-",1,"Cyclopropane,1-ethenyl-1-ethoxy-","Cyclopropane,1-ethenyl-1-ethoxy-",,"Cyclopentane, 1-ethoxy-","Cyclopentane, 1-ethoxy-",,,,547.0,597.0,58900000000000.0, ,189000.0
"2,5-Hexadienyl->3-Cyclopenten-1-ylmethyl",1,"2,5-Hexadienyl","2,5-Hexadienyl",,3-Cyclopenten-1-ylmethyl,3-Cyclopenten-1-ylmethyl,,,,500.0,1700.0,640000000000.0, ,74900.0
"2,5-Hexadienyl->2-Cyclohexenyl",1,"2,5-Hexadienyl","2,5-Hexadienyl",,2-Cyclohexenyl,2-Cyclohexenyl,,,,500.0,1700.0,1100000000000.0, ,94100.0
"2,5-Hexadienyl->1,3,5-Hexatriene+H.",1,"2,5-Hexadienyl","2,5-Hexadienyl",,"1,3,5-Hexatriene | H.","1,3,5-Hexatriene",H.,,,500.0,1700.0,6300000000000.0, ,173000.0
"2,5-Hexadienyl->1,3-Butadiene+C2H3",1,"2,5-Hexadienyl","2,5-Hexadienyl",,"1,3-Butadiene | C2H3","1,3-Butadiene",C2H3,,,500.0,1700.0,3.36e+17,-1.00,195000.0
"5,5'-Bicyclopentadienyl->9H-fulvalenyl+H.",1,"5,5'-Bicyclopentadienyl","5,5'-Bicyclopentadienyl",,9H-fulvalenyl | H.,9H-fulvalenyl,H.,,,300.0,3000.0,3710000000000000.0, ,326000.0
"5,5'-Bicyclopentadienyl->9H-naphthalenyl+H.",1,"5,5'-Bicyclopentadienyl","5,5'-Bicyclopentadienyl",,9H-naphthalenyl | H.,9H-naphthalenyl,H.,,,300.0,3000.0,4410000000000.0, ,292000.0
CH3In->.CH3+In(CH3)2,1,CH3In,CH3In,,.CH3 | In(CH3)2,.CH3,In(CH3)2,,,273.0,873.0,2e+18, ,215000.0
CH3In->.CH3+In,1,CH3In,CH3In,,.CH3 | In,.CH3,In,,,273.0,873.0,2000000000.0, ,139000.0
In(CH3)2->InCH3(singlet)+.CH3,1,In(CH3)2,In(CH3)2,,InCH3(singlet) | .CH3,InCH3(singlet),.CH3,,,700.0,1000.0,338000000.0, ,55000.0
In(CH3)2->InCH3(triplet)+.CH3,1,In(CH3)2,In(CH3)2,,InCH3(triplet) | .CH3,InCH3(triplet),.CH3,,,700.0,1000.0,103000000000000.0, ,245000.0
"2-(.)C6H4C2H3->Ethenyl,2-phenyl-",1,2-(.)C6H4C2H3,2-(.)C6H4C2H3,,"Ethenyl,2-phenyl-","Ethenyl,2-phenyl-",,,,250.0,2000.0,461000000000.0,0.81,110000.0
"3-Furancarboxylic acid 1,1-dimethylethyl ester->iso-C4H8+3-Furancarboxylic acid",1,"3-Furancarboxylic acid 1,1-dimethylethyl ester","3-Furancarboxylic acid 1,1-dimethylethyl ester",,iso-C4H8 | 3-Furancarboxylic acid,iso-C4H8,3-Furancarboxylic acid,,,561.0,610.0,1020000000000.0, ,154000.0
"3-Thiophenecarboxylic acid 1,1-dimethylethyl ester->3-Thiophenecarboxylic acid+iso-C4H8",1,"3-Thiophenecarboxylic acid 1,1-dimethylethyl ester","3-Thiophenecarboxylic acid 1,1-dimethylethyl ester",,3-Thiophenecarboxylic acid | iso-C4H8,3-Thiophenecarboxylic acid,iso-C4H8,,,560.0,609.0,1020000000000.0, ,153000.0
3-Furancarboxylic acid 1-methylethyl ester->CH3CH=CH2+3-Furancarboxylic acid,1,3-Furancarboxylic acid 1-methylethyl ester,3-Furancarboxylic acid 1-methylethyl ester,,CH3CH=CH2 | 3-Furancarboxylic acid,CH3CH=CH2,3-Furancarboxylic acid,,,643.0,704.0,57500000000000.0, ,195000.0
3-Thiophenecarboxylic acid 1-methylethyl ester->3-Thiophenecarboxylic acid+CH3CH=CH2,1,3-Thiophenecarboxylic acid 1-methylethyl ester,3-Thiophenecarboxylic acid 1-methylethyl ester,,3-Thiophenecarboxylic acid | CH3CH=CH2,3-Thiophenecarboxylic acid,CH3CH=CH2,,,640.0,697.0,41700000000000.0, ,193000.0
4-Pyridinecarboxylic acid 1-methylethyl ester->4-Pyridinecarboxylic acid+CH3CH=CH2,1,4-Pyridinecarboxylic acid 1-methylethyl ester,4-Pyridinecarboxylic acid 1-methylethyl ester,,4-Pyridinecarboxylic acid | CH3CH=CH2,4-Pyridinecarboxylic acid,CH3CH=CH2,,,636.0,689.0,7940000000000.0, ,182000.0
CH2=CHCH=CHCH=CH.->C2H2+CH2=CHCH=CH.,1,CH2=CHCH=CHCH=CH.,CH2=CHCH=CHCH=CH.,,C2H2 | CH2=CHCH=CH.,C2H2,CH2=CHCH=CH.,,,300.0,2500.0,31600000000000.0, ,180000.0
CS2OH->CS2+.OH,2,CS2OH,CS2OH,,CS2 | .OH,CS2,.OH,,,250.0,300.0,1.6e-06, ,42900.0
n-C8H17OONO2->NO2+n-C8H17O2,1,n-C8H17OONO2,n-C8H17OONO2,,NO2 | n-C8H17O2,NO2,n-C8H17O2,,,245.0,273.0,4800000000000000.0, ,86500.0
n-C6H13OONO2->NO2+n-C6H13O2,1,n-C6H13OONO2,n-C6H13OONO2,,NO2 | n-C6H13O2,NO2,n-C6H13O2,,,245.0,273.0,7500000000000000.0, ,86500.0
n-C4H9OONO2->NO2+n-C4H9O2,1,n-C4H9OONO2,n-C4H9OONO2,,NO2 | n-C4H9O2,NO2,n-C4H9O2,,,245.0,273.0,8300000000000000.0, ,86500.0
"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-->Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (Z)-",1,"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-","Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-",,"Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (Z)-","Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (Z)-",,,,704.0,780.0,200000000000.0, ,173000.0
"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-->Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (E)-",1,"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-","Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-",,"Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (E)-","Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (E)-",,,,704.0,780.0,398000000000.0, ,176000.0
"1H-Pyrazole, 1-(2-bromoethyl)-->Pyrazole+CH2=CHBr",1,"1H-Pyrazole, 1-(2-bromoethyl)-","1H-Pyrazole, 1-(2-bromoethyl)-",,Pyrazole | CH2=CHBr,Pyrazole,CH2=CHBr,,,913.0,913.0,0.19, ,210000.0
"3-Cyclopenten-1-ylmethyl->2,5-Hexadienyl",1,3-Cyclopenten-1-ylmethyl,3-Cyclopenten-1-ylmethyl,,"2,5-Hexadienyl","2,5-Hexadienyl",,,,500.0,1700.0,830000000000.0, ,70300.0
3-Cyclopenten-1-ylmethyl->5-Methyl-2-cyclopenten-2-yl,1,3-Cyclopenten-1-ylmethyl,3-Cyclopenten-1-ylmethyl,,5-Methyl-2-cyclopenten-2-yl,5-Methyl-2-cyclopenten-2-yl,,,,500.0,1700.0,14000000000000.0, ,126000.0
"Benzene, [1-(1-methylethoxy)ethenyl]-3-nitro-->Ethanone, 1-(4-nitrophenyl)-+CH3CH=CH2",1,"Benzene, [1-(1-methylethoxy)ethenyl]-3-nitro-","Benzene, [1-(1-methylethoxy)ethenyl]-3-nitro-",,"Ethanone, 1-(4-nitrophenyl)- | CH3CH=CH2","Ethanone, 1-(4-nitrophenyl)-",CH3CH=CH2,,,600.0,652.0,2570000000000.0, ,169000.0
CH2CCHCH2CHCH2->Fulvene+H.+H.,1,CH2CCHCH2CHCH2,CH2CCHCH2CHCH2,,Fulvene | H. | H.,Fulvene,H.,H.,,700.0,2500.0,7.64e+16,-6.31,216000.0
CH2CH(NF2)Br->CH2=CHBr+NF2,2,CH2CH(NF2)Br,CH2CH(NF2)Br,,CH2=CHBr | NF2,CH2=CHBr,NF2,,,330.0,430.0,5.25e-07, ,48100.0
CH2CH(NF2)Cl->CH2=CHCl+NF2,2,CH2CH(NF2)Cl,CH2CH(NF2)Cl,,CH2=CHCl | NF2,CH2=CHCl,NF2,,,330.0,430.0,4.78e-08, ,40600.0
"Cyclopentyl, 2-(difluoroamino)-->Cyclopentene+NF2",2,"Cyclopentyl, 2-(difluoroamino)-","Cyclopentyl, 2-(difluoroamino)-",,Cyclopentene | NF2,Cyclopentene,NF2,,,330.0,430.0,1.45e-06, ,48600.0
(CH3)2C(NF2)C(CH3)2->(CH3)2C=C(CH3)2+NF2,2,(CH3)2C(NF2)C(CH3)2,(CH3)2C(NF2)C(CH3)2,,(CH3)2C=C(CH3)2 | NF2,(CH3)2C=C(CH3)2,NF2,,,330.0,430.0,8.72e-07, ,36800.0
CH3CH(NF2)C(CH3)2->(CH3)2C=CHCH3+NF2,2,CH3CH(NF2)C(CH3)2,CH3CH(NF2)C(CH3)2,,(CH3)2C=CHCH3 | NF2,(CH3)2C=CHCH3,NF2,,,330.0,430.0,4.9e-07, ,38900.0
(CH3)2CCH2NF2->iso-C4H8+NF2,2,(CH3)2CCH2NF2,(CH3)2CCH2NF2,,iso-C4H8 | NF2,iso-C4H8,NF2,,,330.0,430.0,1.07e-08, ,31300.0
CH3CH(NF2)CHCH3->(E)-2-C4H8+NF2,2,CH3CH(NF2)CHCH3,CH3CH(NF2)CHCH3,,(E)-2-C4H8 | NF2,(E)-2-C4H8,NF2,,,330.0,430.0,0.000148, ,60300.0
CH3CH(NF2)CHCH3->(Z)-2-C4H8+NF2,2,CH3CH(NF2)CHCH3,CH3CH(NF2)CHCH3,,(Z)-2-C4H8 | NF2,(Z)-2-C4H8,NF2,,,330.0,430.0,4.37e-05, ,57700.0
C2H5CHCH2NF2->1-C4H8+NF2,2,C2H5CHCH2NF2,C2H5CHCH2NF2,,1-C4H8 | NF2,1-C4H8,NF2,,,330.0,430.0,4.47e-09, ,31800.0
HOOCH2O->CH2O+HO2,1,HOOCH2O,HOOCH2O,,CH2O | HO2,CH2O,HO2,,,200.0,600.0,1280000000000.0, ,56500.0
CH2FC(.)F2->.CF2+.CH2F,1,CH2FC(.)F2,CH2FC(.)F2,,.CF2 | .CH2F,.CF2,.CH2F,,,1250.0,1550.0,1000000000000000.0, ,226000.0
(E)-CH3CH=CHCH2SCH2CH=CH2->CH3CH=CH2+CH3CH=CHCHS,1,(E)-CH3CH=CHCH2SCH2CH=CH2,(E)-CH3CH=CHCH2SCH2CH=CH2,,CH3CH=CH2 | CH3CH=CHCHS,CH3CH=CH2,CH3CH=CHCHS,,,635.0,674.0,58900000000.0, ,139000.0
(E)-CH3CH=CHCH2SCH2CH=CH2->1-C4H8+CH2=CHCH=S,1,(E)-CH3CH=CHCH2SCH2CH=CH2,(E)-CH3CH=CHCH2SCH2CH=CH2,,1-C4H8 | CH2=CHCH=S,1-C4H8,CH2=CHCH=S,,,635.0,674.0,38900000000.0, ,140000.0
CH2ClO->HCO+HCl,1,CH2ClO,CH2ClO,,HCO | HCl,HCO,HCl,,,265.0,306.0,7700000000.0, ,39900.0
CH2FO(.)->.CHFOH,1,CH2FO(.),CH2FO(.),,.CHFOH,.CHFOH,,,,200.0,2500.0,92.82,10.90,32200.0
CH2FO(.)->HCO+HF,1,CH2FO(.),CH2FO(.),,HCO | HF,HCO,HF,,,200.0,2500.0,36100000000.0,3.23,103000.0
CH2FO(.)->HFCO+H.,1,CH2FO(.),CH2FO(.),,HFCO | H.,HFCO,H.,,,200.0,2500.0,330000000000.0,2.19,59500.0
"Phenol, 2-(2-chloroethyl)-->Phenol, 2-ethenyl-+HCl",1,"Phenol, 2-(2-chloroethyl)-","Phenol, 2-(2-chloroethyl)-",,"Phenol, 2-ethenyl- | HCl","Phenol, 2-ethenyl-",HCl,,,643.0,713.0,10500000000000.0, ,227000.0
"Phenol, 2-(2-chloroethyl)-->Benzofuran, 2,3-dihydro+HCl",1,"Phenol, 2-(2-chloroethyl)-","Phenol, 2-(2-chloroethyl)-",,"Benzofuran, 2,3-dihydro | HCl","Benzofuran, 2,3-dihydro",HCl,,,643.0,713.0,52500000000000.0, ,224000.0
3-C8H17->2-C8H17,1,3-C8H17,3-C8H17,,2-C8H17,2-C8H17,,,,300.0,385.0,2510000000.0, ,46900.0
H2Si(.)OH->H2+(.)Si(O)H,1,H2Si(.)OH,H2Si(.)OH,,H2 | (.)Si(O)H,H2,(.)Si(O)H,,,1000.0,2500.0,3.72e+19,-3.40,250000.0
(CH33SiCH(OCH3)CH3->(CH3)3SiOCH3+CH3CH,1,(CH33SiCH(OCH3)CH3,(CH33SiCH(OCH3)CH3,,(CH3)3SiOCH3 | CH3CH,(CH3)3SiOCH3,CH3CH,,,797.0,852.0,31600000000000.0, ,218000.0
:Si(OH)2->H2O+SiO,1,:Si(OH)2,:Si(OH)2,,H2O | SiO,H2O,SiO,,,1000.0,2500.0,1.95e+20,-4.40,175000.0
"Benzene, 1-chloro-4-[1-(1-methylethoxy)ethenyl]-->Ethanone, 1-(4-chlorophenyl)-+CH3CH=CH2",1,"Benzene, 1-chloro-4-[1-(1-methylethoxy)ethenyl]-","Benzene, 1-chloro-4-[1-(1-methylethoxy)ethenyl]-",,"Ethanone, 1-(4-chlorophenyl)- | CH3CH=CH2","Ethanone, 1-(4-chlorophenyl)-",CH3CH=CH2,,,600.0,652.0,589000000000.0, ,160000.0
2-Thiophenecarboxylic acid 1-methylethyl ester->CH3CH=CH2+2-Thiophenecarboxylic acid,1,2-Thiophenecarboxylic acid 1-methylethyl ester,2-Thiophenecarboxylic acid 1-methylethyl ester,,CH3CH=CH2 | 2-Thiophenecarboxylic acid,CH3CH=CH2,2-Thiophenecarboxylic acid,,,635.0,693.0,15800000000000.0, ,186000.0
"Silacyclopropane, 2,3-dimethyl-->C2H5CH(CH3)SiH",1,"Silacyclopropane, 2,3-dimethyl-","Silacyclopropane, 2,3-dimethyl-",,C2H5CH(CH3)SiH,C2H5CH(CH3)SiH,,,,643.0,689.0,39800000000000.0, ,48600.0
"Silacyclopropane, 2,3-dimethyl-->CH3CH=CHCH3+SiH2",1,"Silacyclopropane, 2,3-dimethyl-","Silacyclopropane, 2,3-dimethyl-",,CH3CH=CHCH3 | SiH2,CH3CH=CHCH3,SiH2,,,643.0,689.0,30000.0, ,48100.0
"C2H5CH(CH3)SiH->Silacyclopropane, 2,3-dimethyl-",1,C2H5CH(CH3)SiH,C2H5CH(CH3)SiH,,"Silacyclopropane, 2,3-dimethyl-","Silacyclopropane, 2,3-dimethyl-",,,,643.0,689.0,794000000000.0, ,43900.0
CCl3O->COCl2+Cl,1,CCl3O,CCl3O,,COCl2 | Cl,COCl2,Cl,,,220.0,300.0,40000000000000.0, ,38200.0
"Cyclobutane, 2-ethenyl-1,1-dimethyl-->(Z)-CH3CH=CH(CH2)2C(CH3)=CH2",1,"Cyclobutane, 2-ethenyl-1,1-dimethyl-","Cyclobutane, 2-ethenyl-1,1-dimethyl-",,(Z)-CH3CH=CH(CH2)2C(CH3)=CH2,(Z)-CH3CH=CH(CH2)2C(CH3)=CH2,,,,536.0,574.0,63100000000.0, ,160000.0
"Cyclobutane, 2-ethenyl-1,1-dimethyl-->Cyclohexene, 4,4-dimethyl-",1,"Cyclobutane, 2-ethenyl-1,1-dimethyl-","Cyclobutane, 2-ethenyl-1,1-dimethyl-",,"Cyclohexene, 4,4-dimethyl-","Cyclohexene, 4,4-dimethyl-",,,,536.0,574.0,3390000000000.0, ,185000.0
"Cyclobutane, 2-ethenyl-1,1-dimethyl-->CH2=CH(CH2)3C(CH3)=CH2",1,"Cyclobutane, 2-ethenyl-1,1-dimethyl-","Cyclobutane, 2-ethenyl-1,1-dimethyl-",,CH2=CH(CH2)3C(CH3)=CH2,CH2=CH(CH2)3C(CH3)=CH2,,,,536.0,574.0,1750000000000.0, ,188000.0
"Cyclobutane, 2-ethenyl-1,1-dimethyl-->1,3-Butadiene+iso-C4H8",1,"Cyclobutane, 2-ethenyl-1,1-dimethyl-","Cyclobutane, 2-ethenyl-1,1-dimethyl-",,"1,3-Butadiene | iso-C4H8","1,3-Butadiene",iso-C4H8,,,536.0,574.0,1220000000000000.0, ,200000.0
HOCH=CH->C2H2+.OH,1,HOCH=CH,HOCH=CH,,C2H2 | .OH,C2H2,.OH,,,627.0,713.0,2200000000000.0, ,126000.0
"Pyrimidine, 2-(1,1-dimethylethoxy)-->iso-C4H8+2(1H)-Pyrimidinone",1,"Pyrimidine, 2-(1,1-dimethylethoxy)-","Pyrimidine, 2-(1,1-dimethylethoxy)-",,iso-C4H8 | 2(1H)-Pyrimidinone,iso-C4H8,2(1H)-Pyrimidinone,,,587.0,616.0,27000000000000.0, ,170000.0
"Acetamide, N-acetyl-N-phenyl-->N-Phenylacetamide+H2C=C=O",1,"Acetamide, N-acetyl-N-phenyl-","Acetamide, N-acetyl-N-phenyl-",,N-Phenylacetamide | H2C=C=O,N-Phenylacetamide,H2C=C=O,,,643.0,683.0,6310000000000.0, ,185000.0
HOCH2C(.)O->CO+(.)CH2OH,1,HOCH2C(.)O,HOCH2C(.)O,,CO | (.)CH2OH,CO,(.)CH2OH,,,298.0,298.0,53000000000000.0, ,48900.0
