Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
C2H2+.CH2CH=CH2->CH2=CHCH2CH=CH.,2,C2H2 | .CH2CH=CH2,C2H2,.CH2CH=CH2,CH2=CHCH2CH=CH.,CH2=CHCH2CH=CH.,,,,300.0,2500.0,5.3e-14, ,29100.0
C2H2+.CH2CH=CH2->Cyclopentadiene+H.,2,C2H2 | .CH2CH=CH2,C2H2,.CH2CH=CH2,Cyclopentadiene | H.,Cyclopentadiene,H.,,,300.0,2500.0,6.59e-10, ,104000.0
C2H2+tert-C4H9->(CH3)3CCH=CH(.),2,C2H2 | tert-C4H9,C2H2,tert-C4H9,(CH3)3CCH=CH(.),(CH3)3CCH=CH(.),,,,373.0,493.0,8.32e-14, ,22200.0
C2H2+tert-C4H9->CH2=C(CH3)CH=CH2+.CH3,2,C2H2 | tert-C4H9,C2H2,tert-C4H9,CH2=C(CH3)CH=CH2 | .CH3,CH2=C(CH3)CH=CH2,.CH3,,,300.0,2500.0,4.6e-14, ,27600.0
C2H2+tert-C4H9->Adduct,2,C2H2 | tert-C4H9,C2H2,tert-C4H9,Adduct,Adduct,,,,363.0,577.0,1.66e-13, ,32300.0
C2H2+H2->C2H3+H.,2,C2H2 | H2,C2H2,H2,C2H3 | H.,C2H3,H.,,,300.0,2500.0,4e-12, ,272000.0
C2H2+H2->C2H4,2,C2H2 | H2,C2H2,H2,C2H4,C2H4,,,,300.0,2500.0,5e-13, ,163000.0
C2H2+CH2CHCCH->Phenyl+H.,2,C2H2 | CH2CHCCH,C2H2,CH2CHCCH,Phenyl | H.,Phenyl,H.,,,900.0,1000.0,1.66e-15, ,126000.0
C2H2+CH2CHCCH->Benzene,2,C2H2 | CH2CHCCH,C2H2,CH2CHCCH,Benzene,Benzene,,,,673.0,773.0,7.42e-13, ,126000.0
C2H2+CO->.C2H+HCO,2,C2H2 | CO,C2H2,CO,.C2H | HCO,.C2H,HCO,,,300.0,2500.0,8e-10, ,446000.0
"C2H2+1,3-Cyclohexadiene->Bicyclo[2.2.2]octa-2,5-diene",2,"C2H2 | 1,3-Cyclohexadiene",C2H2,"1,3-Cyclohexadiene","Bicyclo[2.2.2]octa-2,5-diene","Bicyclo[2.2.2]octa-2,5-diene",,,,450.0,592.0,1.1e-14, ,102000.0
